Name,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,HDBID,Image URL
Pop! Marvel Collage Puzzle,Pop! Marvel,Funko,,47754566383,,,,57737,303939,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/938164/Pop%2521_Marvel_Collage_Puzzle_Puzzles_a60bc8f0-11b9-4505-85c9-46bb9f804d5b_medium.jpg
Alien,"Pop! Disney, Pop! Vinyl, ‘Disney’ & ‘Disney Store’  Logo - Series 3",Funko,,830395025469,2012,,,33,316920,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1387611/Alien_Vinyl_Art_Toys_4e306b84-65e5-400c-9aa4-e0358ba330a5_medium.png
Alien,"Pop! Disney, Pop! Vinyl",Funko,,830395025469,2012,Exclusive,,33,316921,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/2244511/lien_Art_Toys_a14e126d-f23e-4087-8024-818220885be9(2)_medium.jpg
Amazing Carlos,Pop! Vinyl,Funko,,889698107006,2016,Exclusive,,1,316922,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456539/Amazing_Carlos_%2528Blue_Suit%2529_Vinyl_Art_Toys_7b59611e-9698-4379-90e0-8ee6d0d5d2c1_medium.jpg
Amazing Carlos,"Pop! Vinyl, Pop! Originals",Funko,,889698107341,2016,Exclusive,,1,316923,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456540/Amazing_Carlos_%2528Black_Suit%2529_Vinyl_Art_Toys_f9d04f9b-5b1e-4aa0-a110-0ef7f29690e5_medium.jpg
Anna,"Pop! Disney, Pop! Vinyl",Funko,,849803042561,2014,,,81,316924,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456549/Anna_Vinyl_Art_Toys_9832ec4c-42a9-4e76-995a-eccff12a1d80_medium.jpg
Ant-Man,"Pop! Vinyl, Pop! Marvel",Funko,,849803049638,2015,,,85,316925,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456550/Ant-Man_Vinyl_Art_Toys_6cf45027-347b-4265-b842-09837a8ae471_medium.jpg
Ant-Man,"Hot Topic, Pop! Vinyl, Pop! Marvel",Funko,"{'name': 'Hot Topic', 'url': '/marketplaces/hobbydb/subjects/hot-topic-retailer'}",849803049638,2015,Exclusive,,85,316926,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456551/Ant-Man_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_df042beb-c835-4f22-9cfe-f5a0ec7e55e6_medium.jpg
Ariel,"Pop! Disney, Pop! Vinyl",Funko,,889698112192,2016,,,220,316927,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456552/Ariel_%2528Dancing%2529_Vinyl_Art_Toys_a586ed73-2db8-4d67-84c1-9631d8f5f572_medium.jpg
Ariel,"Hot Topic, Pop! Disney, Pop! Vinyl",Funko,"{'name': 'Hot Topic', 'url': '/marketplaces/hobbydb/subjects/hot-topic-retailer'}",889698117852,2016,Exclusive,,220,316929,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/470338/Ariel_%2528Dancing%2529_%2528Translucent%2529_%2528Glitter%2529_Vinyl_Art_Toys_9dc84ac4-9fb8-401e-b159-9a07b489e5c8_medium.jpg
Aswang,"Pop! Vinyl, Pop! Asia",Funko,,846626010098,2015,Exclusive,"3.75""",41,316931,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321633/Aswang_Vinyl_Art_Toys_ee62d078-5860-43ce-97c0-18fd31198f4a_medium.png
Aswang,"Pop! Vinyl, Pop! Asia",Funko,"{'name': '2016 ToyCon PH', 'url': '/marketplaces/hobbydb/subjects/2016-toycon-ph-event'}",846626013693,2016,"Exclusive, Limited Edition","3.75""",41,316932,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321644/Aswang_Vinyl_Art_Toys_ac691813-7c0d-40af-a9ba-fe38bc0feb03_medium.png
Little Babo,"Pop! Vinyl, Pop! Uglydoll",Funko,,830395025926,2012,,,05,316933,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456558/Little_Babo_Vinyl_Art_Toys_04c086f7-374c-41b7-8564-d98d685051bb_medium.jpg
Little Babo,"Pop! Vinyl, Pop! Uglydoll",Funko,,830395025926,2012,"Chase, Limited Edition",,05,316934,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321768/Little_Babo_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_6bf4934d-7cfb-4e0d-a397-6a9fd7747fc9_medium.png
Batgirl,"Pop! Heroes, Pop! Vinyl, GameStop, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074999,2015,Exclusive,,3,316936,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456562/Batgirl_%2528Gold%2529_Vinyl_Art_Toys_b0ea522d-1258-49a2-8849-67a3867ed09d_medium.jpg
Batgirl,"Pop! Heroes, Pop! Vinyl",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074999,2015,Exclusive,,3,316937,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/576829/Batgirl_%2528Classic_Black%2529_Vinyl_Art_Toys_e7c33e89-8a64-4583-bd9d-602dcb9172cd_medium.jpg
Batman,"Pop! Heroes, Pop! Vinyl, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",830395022017,2015,Exclusive,,01,316938,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456564/Batman_%25281989_-_Black%2529_Vinyl_Art_Toys_2c4006de-caf8-4270-84ec-47f783d0fda4_medium.png
Batman,"Pop! Heroes, Pop! Vinyl, GameStop, Funko Black Friday Box 2015",Funko,"{'name': 'GameStop', 'url': '/marketplaces/hobbydb/subjects/gamestop-retailer'}, {'name': 'EB Games', 'url': '/marketplaces/hobbydb/subjects/eb-games-retailer'}",849803074982,2015,Exclusive,,1,316939,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456565/Batman_%2528Gold%2529_Vinyl_Art_Toys_27d3b196-1b4e-4670-ab44-a90b867b4e41_medium.jpg
Batman,"Pop! Heroes, Pop! Vinyl, Previews",Funko,,849803095307,2016,Exclusive,,111,316940,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456566/Batman_%2528The_Dark_Knight_Returns%2529_%2528Blue%2529_Vinyl_Art_Toys_a0ad65a2-aaed-4c73-a889-1a79ab5b625e_medium.jpg
Batman,"Pop! Heroes, Pop! Vinyl, Previews",Funko,,849803095314,2016,Exclusive,,117,316941,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456567/Batman_%2528The_Dark_Knight_Returns%2529_%2528Black%2529_Vinyl_Art_Toys_f16d0d7b-b428-4ba4-90bd-8555d0e6b6c4_medium.jpg
Baymax,"Pop! Disney, Pop! Vinyl",Funko,,849803048396,2014,,,111,316942,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321661/Baymax_Vinyl_Art_Toys_344b78cb-877c-4753-8249-eee4d0179b49_medium.png
Baymax,"Pop! Disney, Pop! Vinyl, Pop! Super",Funko,"{'name': 'Amazon', 'url': '/marketplaces/hobbydb/subjects/amazon-retailer'}",849803048389,2014,Exclusive,"6""",111,316943,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1321662/Baymax_%2528Glow_in_the_Dark%2529_Vinyl_Art_Toys_33aa46b3-1713-490f-bd16-efe549aac686_medium.png
Black Bolt,"Pop! Vinyl, Pop! Marvel, Previews",Funko,,889698107648,2017,Exclusive,,191,316945,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456571/Black_Bolt_Vinyl_Art_Toys_f70a0aa7-cba3-47d4-9858-f53181cb7abd_medium.jpg
Black Bolt,"Pop! Vinyl, Pop! Marvel",Funko,,889698107655,2017,Exclusive,,191,316946,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456572/Black_Bolt_%2528Blue%2529_Vinyl_Art_Toys_0da30d01-46ca-4bfe-a33e-20053b218176_medium.jpg
Finn,"Pop! Vinyl, Pop! Star Wars",Funko,,849803062217,2015,,"3.75""",59,316947,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/456573/Finn_Vinyl_Art_Toys_d6ce4835-4e2a-49cf-9826-a3d77cb6445f_medium.jpg
