HDBID,Name,Number,Series,Image URL,Description,Category,Brand,UPC,Release Date,Production Status,Estimated Value,Estimated Value Currency,Slug,Reference Number,Scale,AKA,Catalog Item Type Name,Scraped Date,is_master_variant,master_variant_hdbid,variant_type,stickers,exclusivity,is_autographed,signed_by,features
1780099,Snoopy in Penalty Box,,"Pop! Animation, Pop! Vinyl, Limited Edition Ultra",https://www.hobbydb.com/placeholder.png,"<p><strong>Official Marketing Text:</strong></p>
<div class=""d-lg-none mb-5"">
<div id=""collapsible-details-1"" class=""col-sm-12 col-md-8 col-lg-10 value content long-description px-0""></div>
</div>
<p>&nbsp;</p>",,Funko,,Dec 2025,"Exclusive, Limited Edition",,USD,snoopy-in-penalty-box,,"3.75""",Limited Edition Ultra,Art Toys,2025-11-30T17:48:14.212563,1,,master,,Limited Edition,0,,
1780032,Snowtrooper,,Bitty Pop!,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3247586/Snowtrooper_Art_Toys_648aaaa5-5684-41c7-9661-66ade21fe8b1(2)_medium.png,"<p><strong>Official Marketing Text:</strong></p>
<p><em>The world of POP! is getting bigger&mdash;and smaller&mdash;with Bitty POP! collectibles! Expand your Star Wars&trade; collection with this exclusive assortment of Bitty POP! collectibles featuring some of your favourite characters from Star Wars: The Empire Strikes Back&trade;! Each Bitty POP! comes in mystery packaging and includes one collectible figure. Who will you find? There's Bitty POP! Luke Skywalker&trade; (Hoth&trade;) (1/32), Bitty POP! R2-D2&trade; (1/16), Bitty POP! Chewbacca&trade; (3/32), Bitty POP! Princess Leia&trade; (1/8), Bitty POP! Snowtrooper&trade; Gold (1/32), Bitty POP! Boba Fett&trade; (3/32), Bitty POP! Han Solo&trade; (3/32), Bitty POP! Wampa&trade; (1/16), Bitty POP! Dagobah Yoda&trade; (3/32), Bitty POP! Darth Vader&trade; (1/8), Bitty POP! Lando Calrissian&trade; (1/16), and Bitty POP! Luke Skywalker&trade; and Yoda&trade; (1/8).</em></p>
<p><em>Bitty POP! collectibles are packaged in hard acrylic cases with detachable bottom lids. Detachable bottom lids double as acrylic bases, to which the Bitty POP! collectibles are adhered. Vinyl collectibles are approximately 0.9 in (2.3 cm) tall. One collectible per single package purchase.</em></p>",,Funko,,Jan 2025,"Chase, Standard",,USD,snowtrooper-9294e320-a27b-40bb-ace5-087045456b6a,,"2.5""",Gold,Art Toys,2025-11-30T17:48:15.348892,1,,master,Chase|Gold,,0,,Chase|Gold
1780031,Star Wars The Empire Strikes Back,,Bitty Pop!,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3247584/Wars_The_Empire_Strikes_Back_Collectible_Packaging_b6c4066b-19a6-4700-bdff-c6e309194feb(2)_medium.png,"<p><strong>Official Marketing Text:</strong></p>
<p><em>The world of POP! is getting bigger&mdash;and smaller&mdash;with Bitty POP! collectibles! Expand your&nbsp;Star Wars&trade; collection with this exclusive assortment of Bitty POP! collectibles featuring some of your favorite characters from&nbsp;Star Wars: The Empire Strikes Back&trade;! Each Bitty POP! comes in mystery packaging and includes one collectible figure. Who will you find? There&rsquo;s Bitty POP! Luke Skywalker&trade; (Hoth&trade;) (1/24), Bitty POP! R2-D2&trade; (1/24), Bitty POP! Chewbacca&trade; (1/12), Bitty POP! Princess Leia&trade; (1/8), Bitty POP! Snowtrooper&trade; Gold (1/24), Bitty POP! Boba Fett&trade; (1/12), Bitty POP! Han Solo&trade; (1/12), Bitty POP! Wampa&trade; (1/24), Bitty POP! Dagobah Yoda&trade; (1/12), Bitty POP! Darth Vader&trade; (1/8), Bitty POP! Lando Calrissian&trade; (1/12), and Bitty POP! Luke Skywalker&trade; and Yoda&trade; (1/6).</em></p>
<p><em>Bitty POP! collectibles are packaged in hard acrylic cases with detachable bottom lids. Detachable bottom lids double as acrylic bases, to which the Bitty POP! collectibles are adhered. Vinyl collectibles are approximately 0.9 in (2.3 cm) tall. One collectible per single package purchase.</em></p>
<p>&nbsp;</p>",,Funko,,,,,USD,star-wars-the-empire-strikes-back-e7540f95-1ae3-4dc6-8043-84c5e1a9de80,,,Retail Display,Collectible Packaging,2025-11-30T17:48:16.543506,1,,master,Chase|Gold,,0,,Chase|Gold
1777872,Star Skull Walking Stick,,Hikari,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3243060/Star_Skull_Walking_Stick_Art_Toys_9d44bd94-6c77-4175-8992-f7afcbe40808(2)_medium.jpg,,,Funko,,2015,Limited Edition,0.0,USD,star-skull-walking-stick,,,Ron English’s Popganda ,Art Toys,2025-11-30T17:48:17.796831,1,,master,,,0,,
1777800,Mac,,Funko Minis,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3242987/Mac_Art_Toys_0ff9ff2e-bad0-4fe6-a94d-b6ff4e9e1ac8(2)_medium.png,,,Funko,,Jan 2026,Set Exclusive,,USD,bubbles-a5209fe9-e84c-4e69-9cc7-2a7aceb6696d,,"2.5""",Funko Mini,Art Toys,2025-11-30T17:48:18.981325,1,,master,,,0,,
1777798,Bubbles,,Funko Minis,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3242988/Bubbles_Art_Toys_d4c3f69d-6ad6-4879-9196-ef9b4abacc03(2)_medium.png,,,Funko,,Jan 2026,Set Exclusive,,USD,bubbles-0b9c05a9-f56d-4ce0-9485-8d901d0c6f09,,"2.5""",Funko Mini,Art Toys,2025-11-30T17:48:20.203588,1,,master,,,0,,
1777797,Blossom,,Funko Minis,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3242989/Blossom_Art_Toys_46bf60cf-d9e5-4b71-b95b-b0d4a2fa9848(2)_medium.png,,,Funko,,Jan 2026,Set Exclusive,,USD,blossom-5d3bf538-995f-45d1-b345-791d7667035f,,"2.5""",Funko Mini,Art Toys,2025-11-30T17:48:21.377088,1,,master,,,0,,
1777796,Buttercup,,Funko Minis,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3242990/Buttercup_Art_Toys_2d7eae29-eae6-4e17-a6a2-a00c46e75614(2)_medium.png,,,Funko,,Jan 2026,Set Exclusive,,USD,buttercup-2959b2e7-bceb-4830-a8c2-04cdb64f2e82,,"2.5""",Funko Mini,Art Toys,2025-11-30T17:48:22.554242,1,,master,,,0,,
1777795,Dee Dee,,Funko Minis,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3242992/Dee_Dee_Art_Toys_25e45399-c962-4796-8a25-f86838647aba(2)_medium.png,,,Funko,,Jan 2026,Set Exclusive,,USD,dee-dee-art-toys,,"2.5""",Funko Mini,Art Toys,2025-11-30T17:48:23.719673,1,,master,,,0,,
1777794,Bloo,,Funko Minis,https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/3242993/Bloo_Art_Toys_ce9f976b-a45e-4cf7-8eba-36a8b1fe122d(2)_medium.png,,,Funko,,Jan 2026,Set Exclusive,,USD,bloo-74e76aa5-2144-4c23-92ee-e758319c59c7,,"2.5""",Funko Mini,Art Toys,2025-11-30T17:48:24.912529,1,,master,,,0,,
